FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
KY8231,昆明-丽江,KY8256,,B7872,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:40,LJG,,,,,,2017/7/11 17:33,2017/7/11 17:50
KY8233,昆明-太原,KY8308,,B1926,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:55,TYN,,,,,,2017/7/11 16:23,2017/7/11 17:00
KY8235,昆明-杭州,KY8206,,B2667,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:15,HGH,,,,,,2017/7/11 10:43,2017/7/11 11:10
KY8239,昆明-青岛,KY8258,,B1507,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:20,TAO,,,,,,2017/7/11 19:23,2017/7/11 19:50
KY8243,昆明-普洱,KY8340,,B2678,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:15,SYM,,,,,,2017/7/11 18:58,2017/7/11 19:10
KY8245,昆明-芒市,KY8248,,B5026,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:00,LUM,,,,,,2017/7/11 15:52,2017/7/11 16:00
KY8247,昆明-芒市,KY8244,,B2678,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:55,LUM,,,,,,2017/7/11 22:46,2017/7/11 22:55
KY8249,昆明-丽江,KY8316,,B7870,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:10,LJG,,,,,,2017/7/11 21:04,2017/7/11 21:10
KY8251,昆明-保山,KY8210,,B7871,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:55,BSD,,,,,,2017/7/11 8:44,2017/7/11 9:00
KY8253,昆明-西安,KY8222,,B6493,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:10,XIY,,,,,,2017/7/11 10:01,2017/7/11 10:20
KY8255,昆明-临沧,KY8250,,B7872,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:50,LNJ,,,,,,2017/7/11 9:33,2017/7/11 9:50
KY8257,昆明-郑州,KY8240,,B1507,,D,B738,150,49,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:25,CGO,,,,,,2017/7/11 10:40,2017/7/11 11:10
KY8265,昆明-杭州,KY8236,,B2667,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:50,HGH,,,,,,2017/7/11 19:16,2017/7/11 19:50
KY8269,昆明-丽江,KY8314,,B1459,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:10,LJG,,,,,,2017/7/11 20:04,2017/7/11 20:15
KY8273,昆明-武汉,KY8286,,B6495,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:20,WUH,,,,,,2017/7/11 12:13,2017/7/11 12:35
KY8281,昆明-上海,KY8254,,B6493,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:40,PVG,,,,,,2017/7/11 17:29,2017/7/11 17:50
KY8283,昆明-上海,KY8234,,B6491,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:40,PVG,,,,,,2017/7/11 10:27,2017/7/11 10:50
KY8285,昆明-广州,KY8296,,B6492,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:40,CAN,,,,,,2017/7/12 0:23,2017/7/12 0:50
KY8295,昆明-重庆-南通,KY8276,,B6492,CKG,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:05,NTG,,,,,,2017/7/11 8:19,2017/7/11 8:40
KY8297,昆明-石家庄-长春,KY8302,,B2679,SJW,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:40,CGQ,,,,,,2017/7/11 12:21,2017/7/11 12:55
KY8301,昆明-惠州,KY8246,,B5026,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:40,HUZ,,,,,,2017/7/11 20:29,2017/7/11 20:45
KY8307,昆明-南昌,KY8284,,B6491,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:50,KHN,,,,,,2017/7/11 18:49,2017/7/11 19:25
KY8313,昆明-腾冲,KY8270,,B1459,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:00,TCZ,,,,,,2017/7/11 8:53,2017/7/11 9:00
KY8315,昆明-腾冲,KY8232,,B7870,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:20,TCZ,,,,,,2017/7/11 8:13,2017/7/11 8:35
KY8321,昆明-成都,KY8296,,B5702,,D,B738,538,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:15,CTU,,,,,,2017/7/11 9:19,2017/7/11 9:45
KY8333,昆明-西安-大连,KY8334,,B7089,XIY,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:50,DLC,,,,,,2017/7/11 11:43,2017/7/11 12:10
KY8337,昆明-临汾,KY8282,,B1991,,D,B738,325,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:40,LFQ,,,,,,2017/7/11 12:58,2017/7/11 13:15
KY8339,昆明-运城,KY8298,,B2678,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:10,YCU,,,,,,2017/7/11 10:17,2017/7/11 10:35
