FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
"GJ8871","","GJ8661","B8433","昆明-临沂-长春","LYI","CGQ","D","A320","140","58","","","8:05","","","","33-计划","","2017/7/1","10:48","REG","REG","PAX","","","00","10:55"
"MF8430","","MF8429","B5383","昆明-厦门","","XMN","D","B738","328","","","","8:05","","","","33-计划","","2017/7/1","10:21","REG","REG","PAX","","","00","10:45"
"MU2589","","MU556","B6146","昆明-万象","","VTE","I","B738","106","75","J02-J03","","8:05","","","","33-计划","","2017/7/1","9:25","REG","REG","PAX","","","00","9:50"
"MU5861","","MU5782","B5683","昆明-重庆","","CKG","D","B738","127","45","","","8:05","","","","33-计划","","2017/7/1","9:23","REG","REG","PAX","","","00","9:40"
"CZ8510","","CZ8509","B9915","昆明-青岛-长春","TAO","CGQ","D","A320","139","56","","","8:10","","","","33-计划","","2017/7/1","11:11","REG","REG","PAX","","","00","11:35"
"KY8253","","KY8276","B6493","昆明-西安","","XIY","D","B738","524R","","","","8:10","","","","33-计划","","2017/7/1","10:01","REG","REG","PAX","","","00","10:20"
"MU5941","","MU5932","B5816","昆明-大理","","DLU","D","B737","119","30","","","8:10","","","","33-计划","","2017/7/1","8:53","REG","REG","PAX","","","00","9:00"
"MU5961","","MU5916","B5809","昆明-临沧","","LNJ","D","B737","311","","","","8:10","","","","33-计划","","2017/7/1","8:51","REG","REG","PAX","","","00","9:05"
"KY8339","","KY8230","B2678","昆明-运城","","YCU","D","B737","533","","","","8:10","","","","33-计划","","2017/7/1","10:17","REG","REG","PAX","","","00","10:35"
"KY8235","","KY8342","B2669","昆明-杭州","","HGH","D","B737","524L","","","","8:15","","","","33-计划","","2017/7/1","10:43","REG","REG","PAX","","","00","11:10"
"KY8321","","KY8302","B1507","昆明-成都","","CTU","D","B738","326","","","","8:15","","","","33-计划","","2017/7/1","9:19","REG","REG","PAX","","","00","9:45"
"MU2027","","MU5720","B6143","昆明-台北","","TPE","R","B738","111","68","J05-J07","","8:15","","","","33-计划","","2017/7/1","12:36","REG","REG","PAX","","","00","11:30"
"MU5987","","MU5914","B5054","昆明-保山","","BSD","D","B737","112","65","","","8:15","","","","33-计划","","2017/7/1","9:03","REG","REG","PAX","","","00","9:15"
"MU5821","","MU5738","B5796","昆明-东胜-哈尔滨","DSN","HRB","D","B738","502","","","","8:20","","","","33-计划","","2017/7/1","10:49","REG","REG","PAX","","","00","11:15"
"MU5829","","MU5744","B5795","昆明-郑州","","CGO","D","B738","510","","","","8:20","","","","33-计划","","2017/7/1","10:36","REG","REG","PAX","","","00","11:05"
"MU5901","","MU5972","B5295","昆明-版纳","","JHG","D","B737","123","37","","","8:20","","","","33-计划","","2017/7/1","9:08","REG","REG","PAX","","","00","9:25"
"KY8257","","KY8222","B1926","昆明-郑州","","CGO","D","B738","142","62","","","8:25","","","","33-计划","","2017/7/1","10:40","REG","REG","PAX","","","00","11:10"
"MU767","","MU768","B5902","昆明-青岛-旧金山","TAO","SFO","M","A33E","129","42","J08-J08","","8:25","","","","33-计划","","2017/7/1","11:27","REG","REG","PAX","","","00","11:40"
"8L9887","","8L9890","B6809","昆明-宜春-上海","YIC","SHA","D","B738","162","08","","","8:30","","","","33-计划","","2017/7/1","10:22","REG","REG","PAX","","","00","10:45"
"MU2726","","MU5746","B6892","昆明-南京","","NKG","D","A320","130","40","","","8:30","","","","33-计划","","2017/7/1","10:48","REG","REG","PAX","","","00","11:25"
"MU5713","","MU5848","B1790","昆明-北京","","PEK","D","B738","131","38","","","8:30","","","","33-计划","","2017/7/1","11:30","REG","REG","PAX","","","00","12:00"
"MU783","","MU5766","B1792","昆明-南宁-万象","NNG","VTE","M","B738","126","43","J04-J04","","8:30","","","","33-计划","","2017/7/1","9:35","REG","REG","PAX","","","00","9:35"
"MU9755","","MU5902","B5225","昆明-保山","","BSD","D","B737","314","","","","8:30","","","","33-计划","","2017/7/1","9:18","REG","REG","PAX","","","00","9:30"
"CA4418","","CA4459","B8491","昆明-成都","","CTU","D","A320","327","","","","8:40","","","","33-计划","","2017/7/1","9:42","REG","REG","PAX","","","00","10:25"
"DR6509","","DR6578","B5811","昆明-版纳","","JHG","D","B737","526L","","","","8:40","","","","33-计划","","2017/7/1","9:26","REG","REG","PAX","","","00","9:45"
"MU5775","","MU5704","B1908","昆明-广州","","CAN","D","B738","122","35","","","8:40","","","","33-计划","","2017/7/1","10:22","REG","REG","PAX","","","00","10:55"
"MU5885","","MU5913","B5821","昆明-湛江","","ZHA","D","B737","312","","","","8:40","","","","33-计划","","2017/7/1","10:18","REG","REG","PAX","","","00","10:20"
"3U8553","","3U8554","B6719","昆明-重庆-乌鲁","CKG","URC","D","A320","324","","","","8:45","","","","33-计划","","2017/7/1","9:53","REG","REG","PAX","","","00","10:30"
"MU5799","","MU5810","B1635","昆明-洛阳-大连","LYA","DLC","D","A320","125","41","","","8:45","","","","33-计划","","2017/7/1","10:54","REG","REG","PAX","","","00","11:25"
"ZH9416","","ZH9451","B1757","昆明-深圳","","SZX","D","B738","538","","","","8:45","","","","33-计划","","2017/7/1","10:30","REG","REG","PAX","","","00","10:50"
"KY8255","","KY8232","B7871","昆明-临沧","","LNJ","D","B737","141","60","","","8:50","","","","33-计划","","2017/7/1","9:33","REG","REG","PAX","","","00","9:50"
"MU5903","","MU5800","B5267","昆明-版纳","","JHG","D","B737","512","","","","8:50","","","","33-计划","","2017/7/1","9:37","REG","REG","PAX","","","00","9:55"
